sales,order_date,product,customer,country,employee,category
354.54,2000-01-01,Yoga Mat,Future Gadgets,India,Patricia Brown,Fitness Equipment
335.87,2000-01-01,Notebook Professional,Tech Pioneers,Kenya,Joseph Taylor,Computers
889.16,2000-01-01,Fitness Tracker,Nebula Innovations,Germany,Joseph Taylor,Wearables
963.16,2000-01-01,Men's Sneakers,Infinity Solutions,Brazil,Linda Miller,Footwear
491.17,2000-01-01,Smart Watch,Pioneer Tech,China,William Wilson,Wearables
35.64,2000-01-01,Tablet Alpha,Reboot IT,Germany,Joseph Taylor,Mobile Devices
948.78,2000-01-01,Desktop Alpha,NextGen Innovators,USA,Robert Johnson,Computers
587.68,2000-01-01,Streaming Media Player,Future Gadgets,Brazil,Linda Miller,Home Electronics
846.52,2000-01-01,Desktop Beta,Ultra Tech,Egypt,John Smith,Computers
24.54,2000-01-01,Sculpture,Pioneer Tech,Germany,William Wilson,Art
309.57,2000-01-01,Dumbbell Set,Elite Tech,India,Laura Adams,Fitness Equipment
248.3,2000-01-01,Smartphone Alpha,Pinnacle Tech,India,Patricia Brown,Mobile Devices
823.91,2000-01-01,Women's Sandals,Tech Pioneers,France,Laura Adams,Footwear
598.65,2000-01-01,Virtual Reality Headset,SysTech Ltd.,Kenya,Linda Miller,Electronics
752.59,2000-01-01,Wireless Mouse,Nebula Innovations,France,Sarah Moore,Computer Accessories
425.86,2000-01-01,Smartphone Beta,Tech Trends,South Korea,Robert Johnson,Mobile Devices
696.9,2000-01-01,Dumbbell Set,SysTech Ltd.,USA,Linda Miller,Fitness Equipment
176.06,2000-01-01,Electric Guitar,Ultra Tech,Japan,Patricia Brown,Musical Instruments
104.45,2000-01-01,Notebook Basic,Future Gadgets,Germany,Linda Miller,Computers
310.46,2000-01-02,Wristwatch,Ultra Tech,Brazil,William Wilson,Fashion Accessories
755.26,2000-01-02,Wall Art,Ultra Tech,China,William Wilson,Home Decor
465.47,2000-01-02,Wall Art,Future Gadgets,Nigeria,John Smith,Home Decor
346.4,2000-01-02,Fitness Tracker,Ultra Tech,South Africa,Joseph Taylor,Wearables
316.04,2000-01-02,Espresso Machine,Gadget Galaxy,Japan,John Smith,Kitchen Appliances
673.8,2000-01-02,Tablet Alpha,NextGen Innovators,France,Joseph Taylor,Mobile Devices
614.56,2000-01-02,Virtual Reality Headset,SysTech Ltd.,Mexico,Sandra Anderson,Electronics
513.97,2000-01-02,Virtual Reality Headset,Reboot IT,Germany,Michael Davis,Electronics
657.62,2000-01-02,LED Desk Lamp,Infinity Solutions,Brazil,Patricia Brown,Lighting
973.1,2000-01-03,Dumbbell Set,NextGen Innovators,France,Linda Miller,Fitness Equipment
781.94,2000-01-04,Notebook Professional,Innovate Unlimited,USA,Sarah Moore,Computers
294.15,2000-01-05,Biography Book,Infinity Solutions,Italy,Joseph Taylor,Books
622.59,2000-01-05,Tablet Alpha,Nebula Innovations,Nigeria,Laura Adams,Mobile Devices
224.57,2000-01-05,Air Purifier,Elite Tech,Mexico,Patricia Brown,Home Appliances
971.63,2000-01-05,Wall Art,Global Corp,India,Joseph Taylor,Home Decor
975.01,2000-01-06,Noise Cancelling Headphones,Reboot IT,Spain,William Wilson,Audio Equipment
188.62,2000-01-06,Fitness Tracker,SysTech Ltd.,China,Sandra Anderson,Wearables
339.59,2000-01-06,Pet Bed,Elite Tech,South Korea,Patricia Brown,Pet Supplies
390.81,2000-01-06,Smart Watch,Reboot IT,France,Robert Johnson,Wearables
300.73,2000-01-06,Monitor 4K,Future Gadgets,Mexico,Michael Davis,Monitors
